path,rights_group,origin,origin_commit,source_identity,modification_status,owner_evidence,ai_assistance,third_party_material,inbound_license,current_notice,outbound_license,redistribution_authority,public_status,public_release_eligible,required_action,evidence_reference,authority_effect,record_status
.gitattributes,D,GH-01 canonical LF repair,NOT_APPLICABLE,GH01_CANONICAL_LF_REPAIR01_BYTES,NEW_GH01_FILE,GH01_HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED,YES_OPENAI_ASSISTANCE,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,GH01_CANONICAL_LF_REPAIR01:.gitattributes,NONE,ACTIVE
.github/requirements-private-alpha-ci.txt,D,GH-01 generated successor,NOT_APPLICABLE,GH01_GENERATED_BYTES,NEW_GH01_FILE,GH01_HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,GH01_GENERATED:.github/requirements-private-alpha-ci.txt,NONE,ACTIVE
.github/workflows/private-alpha-ci.yml,D,GH-01 generated successor,NOT_APPLICABLE,GH01_GENERATED_BYTES,RL02_SUCCESSOR_MODIFIED,GH01_HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED; RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:.github/workflows/private-alpha-ci.yml,NONE,ACTIVE
.github/workflows/triadicgate-ci.yml,A,TriadicGate,a3b306f6df40fc9862f2494f5048bd604ceafce0,GIT_BLOB:50f40a8426edccf5a5577c7aa817959810c539a5,RETIRED_IN_GH01_SUCCESSOR,REPOSITORY_OWNER_SUPPLIED_EXACT_SOURCE; HUMAN_ATTESTATION_REQUIRED,UNKNOWN_REQUIRES_HUMAN_REVIEW,UNKNOWN_REQUIRES_FILE_LEVEL_REVIEW,FILE_SPECIFIC_NOTICES_MAY_APPLY,PRESERVE_INHERITED_NOTICES,NOT_APPLICABLE_RETIRED,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,PRESERVE_RETIREMENT_AND_COMPLETE_EXACT_HASH_HUMAN_RIGHTS_AND_LICENSE_REVIEW,GH01_RETIRED:.github/workflows/triadicgate-ci.yml; PROJECTION_LINEAGE.csv#.github/workflows/triadicgate-ci.yml,NONE,RETIRED
.gitignore,A,TriadicGate,a3b306f6df40fc9862f2494f5048bd604ceafce0,GIT_BLOB:961a8d47b28d87b141753ad0ec3ff5957b71e6f9,UNMODIFIED_EXACT_GIT_BLOB,REPOSITORY_OWNER_SUPPLIED_EXACT_SOURCE; HUMAN_ATTESTATION_REQUIRED,UNKNOWN_REQUIRES_HUMAN_REVIEW,UNKNOWN_REQUIRES_FILE_LEVEL_REVIEW,FILE_SPECIFIC_NOTICES_MAY_APPLY,PRESERVE_INHERITED_NOTICES,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,PROJECTION_LINEAGE.csv#.gitignore,NONE,ACTIVE
AGENTS.md,A,TriadicGate,a3b306f6df40fc9862f2494f5048bd604ceafce0,GIT_BLOB:38726bed42dac89d724da7e1017660939439dbc3,GH01_SUCCESSOR_MODIFIED,REPOSITORY_OWNER_SUPPLIED_BASELINE; GH01_HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED,YES_OPENAI_CODEX,UNKNOWN_REQUIRES_FILE_LEVEL_REVIEW,FILE_SPECIFIC_NOTICES_MAY_APPLY; MODIFICATION_PENDING_HUMAN_RIGHTS_CONFIRMATION,PRESERVE_INHERITED_NOTICES; AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,GH01_SUCCESSOR_MODIFIED:AGENTS.md,NONE,ACTIVE
AI_ASSISTANCE_DISCLOSURE.md,D,RL-02 human-approved implementation candidate,NOT_APPLICABLE_PENDING_SUCCESSOR_COMMIT,RL02_GENERATED_BYTES,NEW_RL02_FILE,RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f; INDEPENDENT_REVIEW_REQUIRED,YES_OPENAI_CODEX_DISCLOSED,NO_KNOWN_COPIED_MATERIAL_EXCEPT_AS_EXPLICITLY_NOTICED,HUMAN_APPROVED_RL02_CANDIDATE,RL02_LICENSE_NOTICE_AND_AI_DISCLOSURE_SET,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:AI_ASSISTANCE_DISCLOSURE.md,NONE,ACTIVE
CONTRIBUTING.md,D,OA-01 generated projection,NOT_APPLICABLE,OA01_GENERATED_BYTES,RL02_SUCCESSOR_MODIFIED,HUMAN_COMMISSION_AND_GENERATION_RECORD; HUMAN_ATTESTATION_REQUIRED; RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f,YES_OPENAI_CODEX,NO_KNOWN_COPIED_MATERIAL; FILE_LEVEL_REVIEW_REQUIRED,GENERATED_PENDING_HUMAN_RIGHTS_CONFIRMATION,AI_ASSISTANCE_DISCLOSURE_PENDING_APPROVAL,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:CONTRIBUTING.md,NONE,ACTIVE
CONTRIBUTORS.md,D,RL-02 human-approved implementation candidate,NOT_APPLICABLE_PENDING_SUCCESSOR_COMMIT,RL02_GENERATED_BYTES,NEW_RL02_FILE,RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f; INDEPENDENT_REVIEW_REQUIRED,YES_OPENAI_CODEX_DISCLOSED,NO_KNOWN_COPIED_MATERIAL_EXCEPT_AS_EXPLICITLY_NOTICED,HUMAN_APPROVED_RL02_CANDIDATE,RL02_LICENSE_NOTICE_AND_AI_DISCLOSURE_SET,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:CONTRIBUTORS.md,NONE,ACTIVE
DEPENDENCIES.md,D,RL-02 human-approved implementation candidate,NOT_APPLICABLE_PENDING_SUCCESSOR_COMMIT,RL02_GENERATED_BYTES,NEW_RL02_FILE,RL01_OPERATIVE_DECISION_RECEIPT:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f; INDEPENDENT_REVIEW_REQUIRED,YES_OPENAI_CODEX_DISCLOSED,NO_KNOWN_COPIED_MATERIAL_EXCEPT_AS_EXPLICITLY_NOTICED,HUMAN_APPROVED_RL02_CANDIDATE,RL02_LICENSE_NOTICE_AND_AI_DISCLOSURE_SET,MPL-2.0,HUMAN_APPROVED_RL02_CANDIDATE_PENDING_INDEPENDENT_REVIEW,HOLD,false,INDEPENDENT_REVIEW_OF_RL02_CANDIDATE_BEFORE_PUBLIC_RELEASE,RL02_OPERATIVE_DECISION:da4f57bddcd15e9b74029d3797bbb60704e45ffb4f44dbca02d5e763c2b2211f;RL02_CANDIDATE:DEPENDENCIES.md,NONE,ACTIVE
