finding_id,scope,finding_type,material_or_dependency,observed_evidence,current_disposition,required_action,public_status,authority_effect
TP-001,"six inherited coherence.totality files","file-level SPDX notice","MPL-2.0","atlas_contract.py canonical.py grounding.py seal.py ucm.py and waveform.py contain MPL-2.0 SPDX identifiers","UNRESOLVED_WITH_PROJECT_LEVEL_POSTURE","Confirm authorship and inbound authority; preserve notices; reconcile with project-wide all-rights-reserved and outbound-license decision",HOLD,NONE
TP-002,"inherited root README replaced in OA-01","copyright notice","Thomas Prislac / Aggregation Station 2026","authenticated source README ends with an all-rights-reserved notice","PRESERVED_AS_EVIDENCE_NOT_TREATED_AS_PUBLIC_GRANT","Human reviewer must determine correct owner name and required root/component notices",HOLD,NONE
TP-003,"inherited CoherenceLattice README","collaborator and dependency statement","UVLM/Prislac collaborators Mathlib and standard toolchains","README states original work plus dependencies but does not enumerate exact contributors permissions or notices for this projection","REVIEW_REQUIRED","Identify contributors and determine whether projected bytes contain third-party material requiring permission or notice",HOLD,NONE
TP-004,"runtime imports and declared component dependencies","Python dependency","fastapi","Imported by inherited local review surfaces; not vendored by this projection","DEPENDENCY_LICENSE_INVENTORY_REQUIRED","Record resolved version license source and notice obligations for the final wheel environment",HOLD,NONE
TP-005,"runtime imports and declared component dependencies","Python dependency","uvicorn","Imported by inherited local review surfaces; not vendored by this projection","DEPENDENCY_LICENSE_INVENTORY_REQUIRED","Record resolved version license source and notice obligations for the final wheel environment",HOLD,NONE
TP-006,"schema and test validation","Python dependency","jsonschema","Imported by inherited tests and declared by component projects; not vendored by this projection","DEPENDENCY_LICENSE_INVENTORY_REQUIRED","Record resolved version license source and notice obligations for the final build/test environment",HOLD,NONE
TP-007,"inherited component build metadata","Python build dependency","setuptools and wheel","Named by inherited component build metadata; the OA-01 root uses its generated dependency-free backend","DEPENDENCY_LICENSE_INVENTORY_REQUIRED","Record exact tools actually used and whether any third-party bytes enter a deliverable",HOLD,NONE
TP-008,"test environment","Python test dependency","pytest and HTTP test client dependencies","Used by inherited or OA-01 tests; not asserted as bundled project source","DEPENDENCY_LICENSE_INVENTORY_REQUIRED","Record exact versions licenses and whether any material is included in deliverables",HOLD,NONE
TP-009,"JSON schemas","standards reference","JSON Schema 2020-12 metaschema URI","Schema files reference the public metaschema URI; the URI is not evidence of copied license-cleared text","REVIEW_REQUIRED","Confirm schema authorship and whether any copied standard text or attribution is present",HOLD,NONE
TP-010,"current projected text/source scan","copied snippet search","No specific externally copied prose or source snippet established by lexical review","Absence of an obvious marker is not proof of absence","HUMAN_REVIEW_REQUIRED","Perform file-level provenance review and record any newly identified excerpt as Group B or C",HOLD,NONE
TP-011,"OA-01 generated documentation package tests and utilities","AI assistance disclosure","Generated with OpenAI Codex under human OA-01 instruction","Origin is disclosed; human authorship and redistribution authority have not yet been attested","GROUP_D_PENDING_ATTESTATION","Review exact bytes and approve or replace; include approved AI-assistance disclosure in final notices",HOLD,NONE
TP-012,"OA-01 triadicbrain CLI facade","declared dependency boundary","Python standard library only for the root commands","Root pyproject declares an empty dependency list and the generated wheel must contain no Requires-Dist metadata; bundled inherited modules remain subject to TP-004 through TP-008","BUILD_SPECIFIC_VERIFICATION_REQUIRED","Verify exact wheel metadata and members; do not claim broader inherited modules are dependency-accepted through this facade finding",HOLD,NONE
