claim_id,claim,status,scope,evidence_reference,limitation,authority_effect,public_status
CLM-001,"The root demo keeps fixture source candidate audit-labeled posture-labeled and human review artifacts distinct",IMPLEMENTED,"bounded deterministic contract fixture","src/triadicbrain/demo.py","The fixture does not invoke inherited Coherence Sophia or Atlas implementations",NONE,HOLD
CLM-002,"The grounding bundle is the canonical evidence substrate",IMPLEMENTED,"root public contract","components/CoherenceLattice/python/src/coherence/totality/grounding.py","Grounding does not certify source truth or completeness",NONE,HOLD
CLM-003,"A candidate remains a proposal rather than an answer",IMPLEMENTED,"candidate contract","components/CoherenceLattice/python/src/coherence/totality/adapter.py","Semantic correctness remains a human review question",NONE,HOLD
CLM-004,"Sophia audits without generating or rewriting the candidate",IMPLEMENTED,"Sophia role boundary","components/Sophia/python/src/sophia/triadic/totality_audit.py","Final-candidate non-rewrite test evidence is recorded separately",NONE,HOLD
CLM-005,"Atlas orients without canonizing publishing deploying or writing memory",IMPLEMENTED,"Atlas role boundary","components/uvlm-publications/python/src/atlas/triadic/totality_posture.py","Orientation is not approval or truth",NONE,HOLD
CLM-006,"The human decision remains controlling and separate",IMPLEMENTED,"human review boundary","src/triadicbrain/demo.py; src/triadicbrain/serve.py","The root page is read-only and the fixture decision remains PENDING",NONE,HOLD
CLM-007,"The root distribution exposes doctor demo investor-demo and serve commands",IMPLEMENTED,"public development root package","pyproject.toml; src/triadicbrain","Requires clean-install evidence for each final build",NONE,HOLD
CLM-008,"Doctor is read-only and reports local compatibility integrity loopback optional-provider discovery rights and network posture",IMPLEMENTED,"triadicbrain doctor","src/triadicbrain","Optional local discovery is not a live-provider test",NONE,HOLD
CLM-009,"The included contract demo uses a deterministic fixture offline without a provider or network call",PROPOSED,"triadicbrain demo","required UX-01 two-run deterministic and network-boundary logs","Promote to TESTED only for a final candidate with passing preserved evidence; this is not inherited-route acceptance",NONE,HOLD
CLM-010,"Serve is foreground and loopback-only by default and rejects non-loopback Host and Origin conditions",PROPOSED,"triadicbrain serve","required UX-01 loopback Host Origin CSRF review health and status logs","No deployment or remote serving acceptance",NONE,HOLD
CLM-011,"The root package imports from the installed wheel rather than the developer checkout",PROPOSED,"clean wheel install","required UX-01 developer-checkout import-exclusion log","Source presence does not prove installed behavior",NONE,HOLD
CLM-012,"Packaged schemas match their declared source resources",PROPOSED,"package resources","required UX-01 package-resource parity log","Applies only to members enumerated by the final build",NONE,HOLD
CLM-013,"The final public development candidate has no casefold path collision",PROPOSED,"source documentation and wheel paths","required UX-01 casefold scan","Case-sensitive staging alone does not prove wheel membership",NONE,HOLD
CLM-014,"A checksum-closed export proves the identity of declared bytes",IMPLEMENTED,"deterministic export","components/CoherenceLattice/python/src/coherence/totality/seal.py","A checksum is not truth safety fitness or rights evidence",NONE,HOLD
CLM-015,"The publicly visible source repository is eligible for a formal GitHub Release or package publication",DEFERRED,"rights and formal release","RIGHTS_EVIDENCE_MATRIX.csv; LICENSE; LICENSE_SCOPE.md; THIRD_PARTY_NOTICES.md; AI_ASSISTANCE_DISCLOSURE.md","MPL-2.0 and Unicode-3.0 apply to public source but all 166 rights rows remain HOLD; formal release is not authorized",NONE,HOLD
CLM-016,"Live local Ollama or another provider has been accepted",DEFERRED,"provider acceptance","NOT_TESTED_REQUIRES_SEPARATE_HUMAN_PROVIDER_AUTHORIZATION","UX-01 prohibits provider invocation",NONE,HOLD
CLM-017,"Windows clean-machine product acceptance is established",DEFERRED,"platform acceptance","required future Windows execution evidence","A Windows CI definition is not product acceptance",NONE,HOLD
CLM-018,"The bounded route proves cognition improvement universal truth or scientific validity",RESEARCH,"research claims","docs/research/index.md","The public development candidate makes no such claim",NONE,HOLD
CLM-019,"Public source availability authorizes memory package publication deployment formal release or autonomous action",DEFERRED,"authority","docs/safety-and-boundaries.md","All such authority remains absent",NONE,HOLD
CLM-020,"The root wheel invokes the inherited Coherence Sophia and Atlas implementation route",DEFERRED,"root package integration","src/triadicbrain/demo.py; tests/test_root_package.py","The current root demo emits fixed contract-fixture artifacts instead",NONE,HOLD
CLM-021,"The repository source is publicly visible while no formal GitHub Release package publication Pages site hosted service or production deployment exists",IMPLEMENTED,"public development status","PUBLIC_DEVELOPMENT_STATUS.md; docs/status-matrix.md","Public source availability is distinct from formal-release readiness",NONE,HOLD
CLM-022,"The guided investor-demo command runs doctor creates the deterministic fixture and starts the foreground loopback server with browser opening only by explicit flag",IMPLEMENTED,"triadicbrain investor-demo","src/triadicbrain/cli.py; tests/test_root_package.py","The fixture does not invoke a live model or inherited Sophia or Atlas runtime",NONE,HOLD
CLM-023,"The status endpoint returns canonical read-only fixture and authority boundaries",IMPLEMENTED,"GET /status","src/triadicbrain/serve.py; tests/test_root_package.py","A status receipt is not truth release authority or provider acceptance",NONE,HOLD
